essay_id,para_id,para_types,para_text,adu_spans,ac_spans,ai_spans,AC_types,AR_pairs,AR_types
77,432,conclusion,"<para-conclusion> In conclusion , <AC> it is indeed evident that age limit should be set for retirement </AC> . There will come a certain time when the older generation should hand over the responsibility to the fresh comers who are certainly waiting to be given a choice to prove themselves . After all , retirement not only marks the end of an individual , but also gives him a chance to make up for what he has lost throughout his working life . </para-conclusion>","[(1, 17)]","[(4, 17)]","[(1, 3)]",['MajorClaim'],[],[]
78,433,prompt,<prompt> Should the cost of medicines be reduced ? </prompt>,[],[],[],[],[],[]
78,434,intro,"<para-intro> At present , a large number of patients in poor countries are suffering from deaths caused by lack of medication rather than dangerous diseases . It is suggested that companies in developed countries ought to reduce their price of medicines to avoid such unnecessary deaths . </para-intro>",[],[],[],[],[],[]
78,435,body,"<para-body> Admittedly , <AC> more lives will be saved by the use of effective medicines </AC> . <AC> The medical industry in developing countries is incapable of producing high - quality drugs </AC> . <AC> With advanced technology , the developed world has achieved remarkable breakthroughs in making medicines , which can cure a variety of serious illnesses </AC> . <AC> If people in poorer countries gain access to these drugs , their health situations may be better </AC> . <AC> The reduction in cost of medicines therefore shows the sign of humanity </AC> . </para-body>","[(1, 15), (16, 32), (33, 58), (59, 78), (79, 93)]","[(3, 15), (17, 32), (34, 58), (60, 78), (80, 93)]","[(1, 2), (16, 16), (33, 33), (59, 59), (79, 79)]","['Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[(4, 0), (4, 1), (4, 2), (4, 3)]","['Support', 'Support', 'Support', 'Support']"
78,436,body,"<para-body> However , <AC> the current cost of medicines is , in fact , reasonable and based on the medicines ' effectiveness </AC> . Apparently , <AC> the process of researching , testing and producing drugs in masses costs a substantial amount of money </AC> . Moreover , <AC> these products prove to ensure human health completely </AC> . <AC> Suppose companies were forced to reduce the cost of drugs , they would make no profit , even running up debt because of production expenditure </AC> . Therefore , <AC> the measure cannot be adopted , otherwise those companies will go into liquidation </AC> . In short , this is not a long - term solution . </para-body>","[(1, 22), (24, 44), (46, 57), (58, 85), (87, 103)]","[(3, 22), (26, 44), (48, 57), (59, 85), (89, 103)]","[(1, 2), (24, 25), (46, 47), (58, 58), (87, 88)]","['Claim', 'Premise', 'Premise', 'Premise', 'Claim']","[(0, 1), (4, 2), (4, 3)]","['Support', 'Support', 'Support']"
78,437,body,"<para-body> Fortunately , <AC> there are other measures to improve the situation </AC> . <AC> It is advisable for the government to encourage medical production by supplying land for building factories and reducing part of the taxes </AC> . Additionally , <AC> charitable organizations can buy medicines from developed countries and distribute to the undeveloped world for free </AC> . </para-body>","[(1, 12), (13, 37), (39, 58)]","[(3, 12), (14, 37), (41, 58)]","[(1, 2), (13, 13), (39, 40)]","['Claim', 'Premise', 'Premise']","[(0, 1), (0, 2)]","['Support', 'Support']"
78,438,conclusion,"<para-conclusion> In conclusion , <AC> I disagree with reducing the cost of medicines , which may exacerbate their qualities </AC> . Instead , the government and medical foundations should be responsible for the distribution of drugs to the undeveloped world at a more reasonable price . </para-conclusion>","[(1, 19)]","[(4, 19)]","[(1, 3)]",['MajorClaim'],[],[]
79,439,prompt,<prompt> Human activities are harming the Earth </prompt>,[],[],[],[],[],[]
79,440,intro,"<para-intro> "" Save the planet Earth "" is a common line which can be read and heard all over the world . There has been a lot of initiatives to protect the planet Earth from unbridled human developments . Although some people argue these developments are making our life comfortable , but <AC> concerns to save Earth are vital </AC> due to various reasons . </para-intro>","[(39, 59)]","[(52, 59)]","[(39, 51)]",['MajorClaim'],[],[]
79,441,body,"<para-body> Firstly , <AC> rapid development of infrastructure is eating most of the forest throughout world </AC> . <AC> The so - called Concrete jungles have evolved endangering forests and wild life </AC> . As we all know <AC> life saving oxygen is produced by trees after converting harmful carbon dioxide gas </AC> . Moreover , <AC> wild life is very essential to maintain ecological balance on planet Earth </AC> . </para-body>","[(1, 16), (17, 32), (34, 52), (54, 69)]","[(3, 16), (18, 32), (38, 52), (56, 69)]","[(1, 2), (17, 17), (34, 37), (54, 55)]","['Claim', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (0, 3)]","['Support', 'Support', 'Support']"
79,442,body,"<para-body> Secondly , <AC> large emissions of carbon monoxide gas from refrigerants like air conditioners have depleted ozone layer </AC> . <AC> Importance of ozone layer is evident by the fact as it protects us from harmful ultra violet rays </AC> . To add to it , <AC> excess emission of carbon dioxide gas mainly by vehicles around the world has increased the average temperature at north pole which in turn has increased water level due to gradual melting of glaciers </AC> . </para-body>","[(1, 19), (20, 40), (42, 81)]","[(3, 19), (21, 40), (47, 81)]","[(1, 2), (20, 20), (42, 46)]","['Claim', 'Premise', 'Premise']","[(0, 1), (0, 2)]","['Support', 'Support']"
79,443,body,"<para-body> Lastly , <AC> either industrial waste or domestic waste produced everyday is badly polluting the planet Earth </AC> . For instance <AC> a large amount of unnoticed industrial waste released in oceans effects aquatic life to a large extent </AC> . <AC> Harmful chemicals present in industrial waste kills lot of sea creatures in oceans or rivers </AC> . </para-body>","[(1, 18), (20, 40), (41, 58)]","[(3, 18), (22, 40), (42, 58)]","[(1, 2), (20, 21), (41, 41)]","['Claim', 'Premise', 'Premise']","[(0, 1), (0, 2)]","['Support', 'Support']"
79,444,conclusion,"<para-conclusion> To conclude , <AC> Earth is our home and it should be protected </AC> . Any human activity causing harm to Earth should be controlled and alternate ways should be devised to control damage . Creative ideas should be encouraged to leave minimum environmental footprints without compromising quality of life . </para-conclusion>","[(1, 14)]","[(4, 14)]","[(1, 3)]",['MajorClaim'],[],[]
80,445,prompt,<prompt> Amount of control on media information </prompt>,[],[],[],[],[],[]
80,446,intro,"<para-intro> Nowadays , one of the most controversial issues related to mass media is the correct amount of control posed on newspapers , televisions and websites . It is argued that the government should exercise less restriction on sharing of media information to public . However , I strongly believe that <AC> it should increase the level of control to protect the public against inappropriate contents and unsuitable foreign cultures </AC> . </para-intro>","[(45, 70)]","[(51, 70)]","[(45, 50)]",['MajorClaim'],[],[]
80,447,body,"<para-body> <AC> One of the strong arguments in favour of tighter media control is to limit the violent and sexual content </AC> . <AC> They have a serious impact on people in their puberty </AC> . For example , <AC> an internet cartoon comedy called happy tree is extremely brutal , where the characters usually have their heads or limbs tear off </AC> . Another supporting reason is that <AC> television companies import foreign programmes from time to time and audiences might accept their ideas which maybe otherwise not welcomed to local culture </AC> . <AC> A few years ago there was a Japanese game show which involved throwing cream cakes to the loser </AC> . <AC> This is actually very environmentally unfriendly </AC> . </para-body>","[(0, 21), (22, 34), (36, 62), (64, 93), (94, 114), (115, 123)]","[(1, 21), (23, 34), (39, 62), (69, 93), (95, 114), (116, 123)]","[(0, 0), (22, 22), (36, 38), (64, 68), (94, 94), (115, 115)]","['Claim', 'Premise', 'Premise', 'Claim', 'Premise', 'Premise']","[(0, 1), (1, 2), (3, 4), (3, 5)]","['Support', 'Support', 'Support', 'Support']"
80,448,body,"<para-body> The major opposing argument is to protect the safety of citizens . In other words , <AC> the government should disclose the information to the media in a timely manner , especially for disasters and outbreak of new diseases </AC> . <AC> Taking the SARS in 2003 as an example , the Chinese government limited the amount of information for public access which therefore causes numerous deaths </AC> . Even so , <AC> another perspective on this is to prevent the citizen from unnecessary fear and unrest </AC> . </para-body>","[(13, 40), (41, 68), (70, 88)]","[(17, 40), (42, 68), (73, 88)]","[(13, 16), (41, 41), (70, 72)]","['Claim', 'Premise', 'Premise']","[(0, 1), (0, 2)]","['Support', 'Attack']"
80,449,conclusion,"<para-conclusion> Both sides of the arguments have its merits . My personal view is that despite the emphasis of citizen safety , <AC> the government should regulate the correct amount of violent and sexual content and censor the culturally unsuitable information </AC> . Setting up a council to monitor the media information to the public could be a practical idea . </para-conclusion>","[(10, 41)]","[(22, 41)]","[(10, 21)]",['MajorClaim'],[],[]
81,450,prompt,<prompt> Citizen ' s only responsibility is to pay taxes </prompt>,[],[],[],[],[],[]
81,451,intro,"<para-intro> There is a controversial debate around the world about the duties of citizen . Some people believe that paying tax is the only responsibility of citizens , while others disagree and think that being a person in society involves more responsibilities . </para-intro>",[],[],[],[],[],[]
81,452,body,"<para-body> <AC> Taxes are the income for every country in the world and they are extremely important for developing countries </AC> . <AC> If people are paying taxes , that means they are taking part in the development of their country as well as the country ' s economy </AC> . Therefore , <AC> they have fulfilled their duty as a citizen </AC> . </para-body>","[(0, 20), (21, 49), (51, 62)]","[(1, 20), (22, 49), (53, 62)]","[(0, 0), (21, 21), (51, 52)]","['Premise', 'Premise', 'Claim']","[(2, 0), (2, 1)]","['Support', 'Support']"
81,453,body,"<para-body> Some people argue that <AC> individuals of a country are responsible for many other things apart from paying tax </AC> . In fact , <AC> in order to develop a country , citizens must obey laws , which were imposed by the government </AC> . In this way , <AC> the crime rate is reduced and society becomes a peaceful place , so the country will develop at a rapid pace </AC> . Furthermore , <AC> being a citizen in society should protect the country ' s culture and history </AC> . For instance , <AC> people should have knowledge about their own culture and history by studying at school with full concentration or reading them from books </AC> . On the other hand , <AC> a person has to unite with other people in the community so as to develop their nation </AC> . Indeed , <AC> if people in society have a strong bond with each other , society will become a peaceful place , where people are helping and sharing to each other </AC> . </para-body>","[(1, 20), (22, 44), (46, 72), (74, 91), (93, 119), (121, 144), (146, 177)]","[(5, 20), (25, 44), (50, 72), (76, 91), (96, 119), (126, 144), (148, 177)]","[(1, 4), (22, 24), (46, 49), (74, 75), (93, 95), (121, 125), (146, 147)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise']","[(0, 1), (1, 2), (0, 3), (3, 4), (0, 5), (5, 6)]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']"
81,454,conclusion,"<para-conclusion> Taking everything into account , I strongly believe that <AC> being a citizen involves in a number of duties , other than paying taxes </AC> . <AC> People in society must do more than paying taxes to contribute to their society </AC> . </para-conclusion>","[(1, 25), (26, 42)]","[(10, 25), (27, 42)]","[(1, 9), (26, 26)]","['MajorClaim', 'Claim']",[],[]
82,455,prompt,<prompt> Testing on animals and keeping them in unnatural conditions </prompt>,[],[],[],[],[],[]
82,456,intro,"<para-intro> Perhaps the most serious problem facing the animals ' rights today is animal experimentation . Many medical treatments have been discovered by animal testing , including cancer and HIV drugs While most scientists claim that this is vital for improving human health , I believe that <AC> primates should have the same rights as human beings </AC> . </para-intro>","[(16, 57)]","[(47, 57)]","[(16, 46)]",['MajorClaim'],[],[]
82,457,body,"<para-body> <AC> There are several reasons why animal testing should be banned </AC> . Firstly , <AC> the costs outweigh the benefits </AC> . <AC> Every year , cosmetic companies , farms or medical schools kill millions of animals to test their products , without any beneficial result </AC> . <AC> Animal testing costs an enormous amount of money </AC> , since <AC> they must be fed , cared for and treated with drugs or experimental substances </AC> . </para-body>","[(0, 12), (14, 22), (23, 48), (49, 59), (60, 77)]","[(1, 12), (16, 22), (24, 48), (50, 59), (62, 77)]","[(0, 0), (14, 15), (23, 23), (49, 49), (60, 61)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (0, 3), (3, 4)]","['Support', 'Support', 'Support', 'Support']"
82,458,body,"<para-body> Secondly , <AC> animals are kept in unnatural conditions </AC> . <AC> Recent studies point out that animals are neglected and treated poorly , which influences their reactions to drugs </AC> . <AC> In March 2003 , a lab technician shot a video inside a lab , which revealed primates in cages without pain medication , for instance one baboon with a metal cylinder screwed into its head </AC> . Consequently , I think that <AC> sacrificing animals is an expensive and painful activity </AC> . </para-body>","[(1, 10), (11, 31), (32, 69), (71, 85)]","[(3, 10), (12, 31), (33, 69), (76, 85)]","[(1, 2), (11, 11), (32, 32), (71, 75)]","['Premise', 'Premise', 'Premise', 'Claim']","[(3, 0), (3, 1), (3, 2)]","['Support', 'Support', 'Support']"
82,459,body,"<para-body> There is also the argument that many ethical and genetic principles are broken when testing on animals . Many people agree that <AC> it is not only inhumane and cruel to cause pain to animals , but also misleading </AC> , since <AC> animals and people ' s response to a drug can be different </AC> . I personally believe that <AC> human beings have no moral right to use animals in ways that do not benefit the individual </AC> . </para-body>","[(19, 40), (41, 56), (58, 80)]","[(23, 40), (43, 56), (62, 80)]","[(19, 22), (41, 42), (58, 61)]","['Premise', 'Premise', 'Claim']","[(2, 0), (0, 1)]","['Support', 'Support']"
82,460,conclusion,"<para-conclusion> For the reasons mentioned above , <AC> it seems to me that testing on animals has no clear result </AC> and consequently , <AC> it should be made illegal </AC> . </para-conclusion>","[(1, 20), (21, 30)]","[(7, 20), (24, 30)]","[(1, 6), (21, 23)]","['Claim', 'MajorClaim']",[],[]
83,461,prompt,"<prompt> "" Pen and Paper "" Examination </prompt>",[],[],[],[],[],[]
83,462,intro,"<para-intro> Examinations are one of the most common methods of measuring learning in education systems throughout the world . At virtually every stage of the learning process , exams are used to verify that the learner is ready to move on to the next stage . However , many believe that the role of examinations should be reconsidered . </para-intro>",[],[],[],[],[],[]
83,463,body,"<para-body> <AC> There are clearly advantages to exams </AC> . <AC> They help to ensure fairness by imposing the same conditions on all exam candidates </AC> . <AC> They are also relatively versatile ; different types of exam questions , for example , multiple - choice questions and essay tasks , can test different sorts of reasoning ability </AC> . However , <AC> exams also have some drawbacks </AC> . <AC> Test - wise candidates can often perform well on exams without having good underlying knowledge or skills </AC> . In contrast , <AC> some test - takers perform cannot achieve a satisfying result because of anxiety </AC> . In this case , <AC> teachers and learners focus only on theses aspects of the curriculum that are likely to be tested , thus narrowing the educational experience for all </AC> . </para-body>","[(0, 8), (9, 25), (26, 58), (60, 68), (69, 88), (90, 107), (109, 139)]","[(1, 8), (10, 25), (27, 58), (62, 68), (70, 88), (93, 107), (113, 139)]","[(0, 0), (9, 9), (26, 26), (60, 61), (69, 69), (90, 92), (109, 112)]","['Claim', 'Premise', 'Premise', 'Claim', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (3, 4), (6, 5), (3, 6)]","['Support', 'Support', 'Support', 'Support', 'Support']"
83,464,body,"<para-body> <AC> A number of measures should be taken to address these concerns </AC> . Wherever possible , <AC> exams should match the content and activities of the learning environment </AC> . <AC> Exam task should be varied to give fair opportunities to candidates with different types of skills </AC> . <AC> Other types of assessment should also be considered , assignment writing , for example , to assess independent learning and research skills , or group projects , to measure teamwork ability </AC> . </para-body>","[(0, 13), (15, 30), (31, 49), (50, 83)]","[(1, 13), (18, 30), (32, 49), (51, 83)]","[(0, 0), (15, 17), (31, 31), (50, 50)]","['Claim', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (0, 3)]","['Support', 'Support', 'Support']"
83,465,conclusion,"<para-conclusion> In conclusion , it is convincing that <AC> exams have a role to play in ensuring proper and objective assessment of achievement </AC> . However , <AC> exams need to be carefully designed and supplemented with other forms of evaluation if they are to be a truly useful component of the education system </AC> . </para-conclusion>","[(1, 23), (25, 54)]","[(8, 23), (27, 54)]","[(1, 7), (25, 26)]","['MajorClaim', 'Claim']",[],[]
84,466,prompt,"<prompt> Richer nations should help poorer nations in health , education and trade </prompt>",[],[],[],[],[],[]
84,467,intro,"<para-intro> Improvements in health , education and trade are essential for the development of poorer nations . <AC> Poorer nations need help from richer nations in these areas to develop their countries </AC> . </para-intro>","[(16, 32)]","[(17, 32)]","[(16, 16)]",['MajorClaim'],[],[]
84,468,body,"<para-body> Firstly , <AC> in the area of health , poorer nations normally have less quantity of doctors and nurses compared to richer nations </AC> . <AC> High population in poorer countries due to lack of family planning caused the proportion of doctors unbalance to the quantity of resident </AC> . On top of that , <AC> poorer nations are lack of hospitals to fulfill the demand of the patients </AC> . To solve these issues , <AC> richer nations can contribute by delegating doctors and nurses to these power nations as well as donate money to build hospitals </AC> . </para-body>","[(1, 24), (25, 49), (51, 70), (72, 99)]","[(3, 24), (26, 49), (56, 70), (77, 99)]","[(1, 2), (25, 25), (51, 55), (72, 76)]","['Premise', 'Premise', 'Premise', 'Claim']","[(3, 0), (3, 1), (3, 2)]","['Support', 'Support', 'Support']"
84,469,body,"<para-body> Secondly , <AC> in the area of education , it is generally agreed that poorer countries often lack of teachers in schools as well as lecturers in higher education institutions </AC> . Besides that , <AC> education for these countries normally is not free so only certain group of students can afford it </AC> . In order to solve the education manpower problem , <AC> richer countries can allocate experienced educators to train more teachers and lecturers in poorer countries </AC> . Meanwhile , <AC> for the issue of education fee , richer countries should offer scholarships and loan to the qualified students </AC> . </para-body>","[(1, 31), (33, 54), (56, 81), (83, 104)]","[(3, 31), (36, 54), (65, 81), (85, 104)]","[(1, 2), (33, 35), (56, 64), (83, 84)]","['Premise', 'Premise', 'Claim', 'Claim']","[(2, 0), (3, 1)]","['Support', 'Support']"
84,470,body,"<para-body> Lastly , <AC> in the area of trade , no one can deny that poorer countries are lagging behind richer countries due to shortage of money </AC> . <AC> Trading are less active in poorer countries may also be caused by incomplete transportation infrastructure </AC> . For example , <AC> residents in rural areas still depend on their own farm for food production </AC> . As a token of goodwill , <AC> richer nations can provide financial service to poorer countries to encourage trading </AC> . <AC> The former can also give consultation on setting up a complete and efficient transportation infrastructure to support trading </AC> . </para-body>","[(1, 27), (28, 45), (47, 64), (66, 85), (86, 106)]","[(3, 27), (29, 45), (50, 64), (72, 85), (87, 106)]","[(1, 2), (28, 28), (47, 49), (66, 71), (86, 86)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (0, 3), (0, 4)]","['Support', 'Support', 'Support', 'Support']"
84,471,conclusion,"<para-conclusion> In conclusion , <AC> richer nations should take more responsibility for helping the poorer nations in all health , education and trade </AC> . <AC> Improvements in these areas will create a better life for residents in poorer nations which they can use to grow their homeland </AC> . </para-conclusion>","[(1, 23), (24, 48)]","[(4, 23), (25, 48)]","[(1, 3), (24, 24)]","['MajorClaim', 'Claim']",[],[]
85,472,prompt,<prompt> There will be soon no role for teachers in classrooms </prompt>,[],[],[],[],[],[]
85,473,intro,"<para-intro> In recent years it has become more common for teachers to use technological tools in the learning process . However , <AC> I do not agree that this explosion in technology will ' innovate ' the education system , by replacing teachers with computers </AC> . </para-intro>","[(20, 45)]","[(22, 45)]","[(20, 21)]",['MajorClaim'],[],[]
85,474,body,"<para-body> There are several reasons why teachers will never be replaced by computers . Firstly , <AC> computers need to be operated by people </AC> . <AC> No one can argue that technological tools are must - haves for the classroom of today </AC> . For example , <AC> lessons are more attractive and easier to understand when they are put on a Power Point presentation and then presented with a LCD Projector </AC> . However , <AC> scientists prove that every classroom needs trained staff to use these interactive and innovative ways of teaching </AC> . I agree that nowadays the learning process benefits greatly from computers , but <AC> they are just tools for teachers and they cannot work properly without human ' s touch </AC> . </para-body>","[(14, 24), (25, 43), (45, 73), (75, 95), (97, 127)]","[(16, 24), (26, 43), (48, 73), (77, 95), (110, 127)]","[(14, 15), (25, 25), (45, 47), (75, 76), (97, 109)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (0, 3), (0, 4)]","['Support', 'Support', 'Support', 'Support']"
85,475,body,"<para-body> Secondly , <AC> children need human interactions </AC> . <AC> No matter how advanced technology will be , it is clear that a computer will never be able to communicate with its pupils </AC> . <AC> As a recent interview with Josh Trumm – the founder of the ' Teachers Global Group '- reveals , human interactions will never be imitated by computers : ' This verbal and non - verbal communication between teachers and children is the first step towards a proper education </AC> . <AC> Without someone who can explain and understand their problems , pupils cannot actually learn ' </AC> . I am inclined to agree with this scientific view , because <AC> only a teacher can feel and connect with pupils , be a friend and a model </AC> . </para-body>","[(1, 8), (9, 34), (35, 85), (86, 103), (105, 133)]","[(3, 8), (10, 34), (36, 85), (87, 103), (116, 133)]","[(1, 2), (9, 9), (35, 35), (86, 86), (105, 115)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (0, 3), (0, 4)]","['Support', 'Support', 'Support', 'Support']"
85,476,conclusion,"<para-conclusion> In conclusion , <AC> there can be no school without a teacher </AC> . I think that <AC> computers will continue to be used by teachers in the learning process , but they will never take their place </AC> . <AC> Teachers are not just teachers , they are also friends and conseilieurs </AC> . </para-conclusion>","[(1, 13), (15, 39), (40, 54)]","[(4, 13), (18, 39), (41, 54)]","[(1, 3), (15, 17), (40, 40)]","['MajorClaim', 'MajorClaim', 'Claim']",[],[]
86,477,prompt,"<prompt> Advanced fertilizers and machine for farmers , good or bad ? </prompt>",[],[],[],[],[],[]
86,478,intro,"<para-intro> In recent years , the discussion about the agriculture development has become a controversy . While some appear to believe that advanced plant foods incorporate with newly developed devices significantly reduce the cost of producing farm products , others argue that this collaboration exerts a series of negative effects to people ' s health condition and the society . </para-intro>",[],[],[],[],[],[]
86,479,body,"<para-body> Admittedly , <AC> applying the advanced fertilizers in combine with the automatic reaping resources increase farmers ' economic profit </AC> . This is because <AC> artificial fertilizers catalyze the capacity of each inch of farmland in order to churn out the crops , and automatic machinery enhances the work efficiency of the harvest </AC> . Consequently , <AC> the production and labour cost of each kilogram of the agriculture products dramatically decreased </AC> . </para-body>","[(1, 20), (22, 54), (56, 73)]","[(3, 20), (25, 54), (58, 73)]","[(1, 2), (22, 24), (56, 57)]","['Premise', 'Premise', 'Claim']","[(2, 0), (0, 1)]","['Support', 'Support']"
86,480,body,"<para-body> However , <AC> high - tech fertilizers pose a potential threat to individuals ' health well - being </AC> . <AC> Unlike the organic plant foods , industrialized fertilizers are made of unusual chemicals , which are not only varying the gene of crops into those unknown substances but also remaining inside of plants permanently </AC> . In this case , <AC> consumers who intake those fertilized products on a regular base tend to suffer a series of disease in the future </AC> . </para-body>","[(1, 19), (20, 56), (58, 83)]","[(3, 19), (21, 56), (62, 83)]","[(1, 2), (20, 20), (58, 61)]","['Claim', 'Premise', 'Premise']","[(2, 1), (0, 2)]","['Support', 'Support']"
86,481,body,"<para-body> Moreover , <AC> excessively relying on the electronic equipment for harvest causes several impacts to the society </AC> . <AC> One is that it worsens the air pollution by releasing the excessive exhaust emission </AC> . In contrast , <AC> manual harvest prevents severe environmental damages </AC> . For another , <AC> mechanical reaper causes the rise of the unemployment rate in the farming industry </AC> , possibly because <AC> high - end reaping plants replace a large number of workers in the fields </AC> . </para-body>","[(1, 18), (19, 35), (37, 47), (49, 66), (67, 85)]","[(3, 18), (20, 35), (40, 47), (52, 66), (70, 85)]","[(1, 2), (19, 19), (37, 39), (49, 51), (67, 69)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[(0, 1), (0, 2), (0, 3), (3, 4)]","['Support', 'Support', 'Support', 'Support']"
86,482,conclusion,"<para-conclusion> In conclusion , even though <AC> newly developed plant foods and machinery make significant financial success for the farmers </AC> , it is convincing that <AC> the demerits of applying these new developments in the agriculture industry cannot be overlooked </AC> . </para-conclusion>","[(1, 20), (21, 41)]","[(6, 20), (26, 41)]","[(1, 5), (21, 25)]","['Claim', 'MajorClaim']",[],[]
87,483,prompt,<prompt> Funding artists </prompt>,[],[],[],[],[],[]
87,484,intro,"<para-intro> Nowadays , in order to save as much budget as possible and improve the economy of the country , every government around the world is seeking for some ways to spend wisely . Therefore , there is a suggestion that governments should not continue to fund the artists , but they ought to spend money on other necessary subjects such as medical research and space . In my view , I firmly disagree with this recommendation due to several reasons . </para-intro>",[],[],[],[],[],[]
87,485,body,"<para-body> The main reason why I believe artists should be funded is because <AC> art helps to improve the quality of our lives as well as attracting tourists </AC> . For example , <AC> monuments that represent each city do not only illustrate the city ' s history and culture , but also make the city more beautiful and an attractive place for tourists </AC> . In fact , <AC> some countries depend on tourism as their main source of revenue </AC> , thus , <AC> the governments should help arts </AC> because <AC> their work crafts are very necessary to boost the tourist industry </AC> . </para-body>","[(1, 28), (30, 64), (66, 81), (82, 91), (92, 105)]","[(13, 28), (33, 64), (69, 81), (85, 91), (93, 105)]","[(1, 12), (30, 32), (66, 68), (82, 84), (92, 92)]","['Premise', 'Premise', 'Premise', 'Claim', 'Premise']","[(3, 0), (0, 1), (3, 2), (3, 4)]","['Support', 'Support', 'Support', 'Support']"
87,486,body,"<para-body> In addition , <AC> sculptures and paintings in the museums and art galleries generally reflect the culture and civilization of every generation </AC> . Therefore , <AC> culture and history of a country can be reserved and assured by art </AC> . <AC> Young people are also able to get more knowledge about their country ' s history and culture by observing various work crafts </AC> . </para-body>","[(1, 23), (25, 41), (42, 66)]","[(4, 23), (27, 41), (43, 66)]","[(1, 3), (25, 26), (42, 42)]","['Premise', 'Claim', 'Premise']","[(1, 0), (1, 2)]","['Support', 'Support']"
87,487,body,"<para-body> Another reason why artists should be helped is because <AC> talent in art is extremely precious and should not be wasted </AC> . Indeed , <AC> not many people are blessed in the talent of paintings and work crafts </AC> . Hence , <AC> this type of talent has to be valued as other types of talents such as talent in science or literature </AC> . </para-body>","[(1, 22), (24, 40), (42, 65)]","[(10, 22), (26, 40), (44, 65)]","[(1, 9), (24, 25), (42, 43)]","['Claim', 'Premise', 'Premise']","[(2, 1), (0, 2)]","['Support', 'Support']"
87,488,conclusion,"<para-conclusion> To sum up , <AC> art is a very valuable object for every country and the talent in this area cannot be discovered everywhere </AC> , so I think <AC> governments should help and encourage artists to continue their work </AC> . </para-conclusion>","[(1, 25), (26, 41)]","[(5, 25), (30, 41)]","[(1, 4), (26, 29)]","['Claim', 'MajorClaim']",[],[]
88,489,prompt,<prompt> Capital punishment is necessary or not ? </prompt>,[],[],[],[],[],[]
88,490,intro,"<para-intro> Capital punishment is a controversial debate in many countries . In a world where brutal crimes need to be deterred , it may be true that the death penalty is an efficient retribution to admonish the violence . However , as the society grows , human rights become more highly respected , <AC> "" murdering "" criminals is therefore immoral and hard to accept </AC> . </para-intro>","[(39, 65)]","[(53, 65)]","[(39, 52)]",['MajorClaim'],[],[]
88,491,body,"<para-body> First of all , it is recognized that <AC> every human being has the right to live and no authority is empowered to deprive one of life </AC> . Although <AC> what criminals cause to the society , specifically to the victims , is indeed significantly offensive </AC> , <AC> they are humans and their lives need to be valued </AC> . In addition , <AC> execution does not resolve the consequences of crime </AC> , not to mention <AC> it could put the criminal ' s family through hardship while the pain of the victim ' s kin is never to be consoled </AC> . </para-body>","[(1, 28), (30, 48), (49, 61), (63, 75), (76, 105)]","[(9, 28), (31, 48), (50, 61), (66, 75), (80, 105)]","[(1, 8), (30, 30), (49, 49), (63, 65), (76, 79)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[(0, 1), (1, 2), (0, 3), (0, 4)]","['Attack', 'Attack', 'Support', 'Support']"
88,492,body,"<para-body> Secondly , <AC> capital punishment is certainly not the only option to control the amount of crimes , life imprisonment is just as effective by detaining the criminals in prison for the rest of their lives </AC> . Moreover , <AC> in terms of punishment , living a miserable life with restriction to the world outside and sustaining the feeling of guilt every day in a dark bounded room are much more obsessing than being killed right away </AC> . </para-body>","[(1, 37), (39, 79)]","[(3, 37), (41, 79)]","[(1, 2), (39, 40)]","['Claim', 'Premise']","[(0, 1)]",['Support']
88,493,body,"<para-body> <AC> The third reason why the death penalty should be banned is the chance that innocent people are wrongly convicted </AC> . <AC> Juries are also humans , they may lack of discretion </AC> . Thus , <AC> many people are executed for the crime they did not commit , which leads to a question of fairness in judicial system </AC> . </para-body>","[(0, 21), (22, 34), (36, 61)]","[(1, 21), (23, 34), (38, 61)]","[(0, 0), (22, 22), (36, 37)]","['Claim', 'Premise', 'Premise']","[(2, 1), (0, 2)]","['Support', 'Support']"
88,494,conclusion,"<para-conclusion> In conclusion , although <AC> capital punishment presents an extreme warning to the community </AC> , I firmly object to it because <AC> it is absurd and inhumane </AC> . Furthermore , <AC> it can be replaced by a life sentence </AC> . </para-conclusion>","[(1, 15), (16, 29), (31, 42)]","[(5, 15), (23, 29), (33, 42)]","[(1, 4), (16, 22), (31, 32)]","['Claim', 'MajorClaim', 'Claim']",[],[]
89,495,prompt,<prompt> Businesses should be only concerned about making profits . </prompt>,[],[],[],[],[],[]
